grade
58
88
81
61
86
87
92
91
86
68
86
91
61
63
76
76
81
87
63
63
66
71
92
62
62
87
86
84
67
91
67
91
87
91
82
81
76
81
62
86
62
91
92
68
88
91
71
92
79
59
58
71
81
93
85
75
77
82
81
90
91
92
88
94
83
84
74
86
86
90
81
66
86
83
75
70
78
88
70
59
86
61
63
85
85
83
78
78
62
72
74
68
92
91
81
61
67
92
84
74
88
71
82
79
80
87
90
85
84
61
84
64
58
89
87
62
78
92
86
67
93
93
82
66
84
70
86
83
82
81
91
57
85
86
91
87
84
85
79
67
87
67
60
71
